fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=95.5623/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=11.6497/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=109.5810/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=44.4655/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=93.5489/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=86.2634/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=69.8140/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=68.8486/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=107.2134/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=107.9288/138.9321): api-node2
